trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,16,7.600393193427527,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,14,17.390872807745478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3198190218163039}",25,11,11.961748504178544,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3166367693790532}",20,11,20.06174981612991,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,7,10.626518670897454,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,9,13.767769972431111,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",35,18,-34.52837307768041,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,0,-40.4089301273818,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-28.72152042765537,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,8.028901025825405,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,8,-9.339207663218733,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,8,14.404954810033495,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28938421793905067}",20,8,15.112854992911803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,14,-21.2737044010536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,2,-48.50174571849051,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",25,2,-12.864240897535934,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,10,13.30472344615389,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,15,-6.0312752468924415,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,19,4.214033329275791,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26982005638468687}",20,3,-89.71461366435227,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.2671353019658504}",20,9,15.58124131642928,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",30,19,15.796586148042891,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,4,4.564921016214204,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,16,15.75937024795532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,9,18.89782679095021,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,-40.38663191429091,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.2515785530597565}",25,0,7.114027892587912,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.2490753046316682}",25,15,-23.2094042054514,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160646}",20,14,3.767565471982784,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,10,17.582752104273595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703648}",20,15,-4.497538343475648,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,10,17.381980874175078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2369277586821218}",35,13,-10.553554197867992,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379768}",20,3,-29.481029025718477,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975886}",25,10,-14.511570232227303,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672387}",35,6,-30.660892392958015,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381276}",25,0,3.7457161945855884,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.22537265553943875}",25,8,3.795417910313953,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842985}",25,19,2.831712254085856,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22090997795937822}",20,7,3.068780387328923,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",25,8,-80.64777190871659,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,-16.816892852208632,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",35,11,-49.89044008444111,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674307}",20,0,12.585146338254809,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.21013607120076475}",30,8,-1.0071332464444338,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,0,-21.946619642846997,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.20597509820488347}",20,6,-54.171494920795624,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421345}",30,20,2.6641368636148344,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",30,17,13.9575465146137,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,13,-27.058318122290476,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361468}",20,10,3.0780517611479796,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,9,22.542212158743947,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,0,-44.38849882059265,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.1920499086207541}",25,7,-19.008626518404988,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152053}",20,5,-1.6186614035863633,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,8,22.221801389968405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941}",25,15,10.000870967286332,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1845195239929893}",25,12,-9.455481969519195,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,15,9.893086778801008,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,9,7.527319578910083,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149325}",20,14,12.7416413579673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,12,16.5315657491563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",25,13,22.4472329553834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,0,-14.920663467189826,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,0,36.26405496554375,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.17033298882540945}",25,10,27.25643576684946,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859552}",20,0,30.186959791146467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.16696016966704072}",20,0,20.935486022300434,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.16529888822158656}",30,16,11.371772696049831,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270408}",30,6,25.512989368598518,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388077}",25,15,16.239050689323967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517277}",25,20,9.482641005806277,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
